temperature,humidity,y,Y Predict,MSE,MAE
85.0,85.0,428.91693966061587,429.4921,0.33080941600046354,0.5751603393841265
80.0,90.0,435.6117704434396,435.56209999999993,0.0024671529514916674,0.04967044343965199
83.0,86.0,428.63286662958205,428.7855,0.023296945765145946,0.1526333704179592
70.0,96.0,432.69983295818156,435.1637,6.070640799759181,2.463867041818446
68.0,80.0,380.9437460447194,381.16889999999995,0.050694303578487275,0.22515395528057525
65.0,70.0,345.99241868020835,344.06109999999995,3.729991844521885,1.931318680208392
64.0,65.0,327.1153541263456,326.4675,0.419714969023066,0.647854126345635
72.0,95.0,438.4852646908052,435.8703,6.8380403341579825,2.614964690805209
69.0,70.0,348.2355206017882,351.7435,12.305919458278236,3.5079793982117735
75.0,80.0,397.2669916192786,394.6131,7.04314072687732,2.6538916192786246
75.0,70.0,362.4491088011699,363.26709999999997,0.6691096013634114,0.8179911988300432
72.0,90.0,419.81600388199547,420.1973,0.14538672960531193,0.3812961180045136
81.0,75.0,391.0450449417977,390.46369999999996,0.3379619413538155,0.5813449417977381
71.0,91.0,421.10716662157,421.41130000000004,0.09249711187526855,0.30413337843003774
