Price ($),Price ($) Predict,MSE,MAE
3997.07,2749.15489,1557292.121766313,1247.9151100000004
1355.78,449.60694,821149.6146697635,906.17306
2673.07,3207.01215,285094.21954662236,533.9421499999999
751.17,779.54205,804.9732212025033,28.37205000000006
2059.83,1743.0386700000001,100356.74676316876,316.7913299999998
1676.64,1907.49171,53292.51200992406,230.8517099999999
1449.05,1966.2501100000002,267495.95378401235,517.2001100000002
2193.55,1784.27398,167506.8605470406,409.27602000000024
1556.72,1489.9480500000002,4458.4933068024775,66.77194999999983
2044.38,1301.2634400000002,552222.2217462335,743.1165599999999
2032.69,2407.7459299999996,140666.95062816454,375.05592999999953
1770.05,1938.69423,28440.876312292938,168.6442300000001
629.96,1545.49019,838195.528801436,915.53019
1909.02,2797.21018,788881.7958484325,888.19018
982.19,1635.0816799999998,426267.54581322207,652.8916799999997
2413.0,2358.00546,3024.399429811616,54.99454000000014
1585.6,917.7047299999999,446084.0916883729,667.89527
2191.16,2452.7927,68451.66970929006,261.6327000000001
1778.84,1351.25112,182832.2502996544,427.58888
3311.34,2887.50074,179639.71831734775,423.8392600000002
1734.32,1759.2640399999998,622.205131521593,24.94403999999986
878.5,1409.2921,281740.2534224099,530.7920999999999
830.62,2040.44479,1463676.0224985443,1209.8247900000001
4428.68,3001.01219,2038235.3757101973,1427.6678100000004
1504.2,1540.92184,1348.4935329855948,36.72183999999993
3907.83,2581.4139199999995,1759379.6172825675,1326.4160800000004
976.43,992.95719,273.1480092961006,16.52719000000002
3286.11,2860.01653,181555.64517664112,426.09347000000025
831.69,143.08974,474170.3180720677,688.60026
2868.04,2989.78555,14821.978944802522,121.7455500000001
3584.25,2686.34854,806227.0318701317,897.90146
1878.4,2250.24549,138269.06843333988,371.8454899999997
1834.21,2027.89481,37513.80562473609,193.68480999999997
3390.88,3134.3056299999994,65830.40734089728,256.5743700000007
1923.02,1885.33932,1419.8336452623953,37.68067999999994
2601.32,2130.37664,221787.6483280898,470.9433600000002
2770.48,2178.0732199999998,350945.7929899687,592.4067800000003
2516.31,2157.2334499999997,128935.96875990267,359.0765500000002
1083.11,1757.3455,454593.50946025,674.2355
3323.89,3383.6886600000003,3575.8797377956457,59.79866000000038
1759.04,1598.5902600000002,25744.119066067535,160.4497399999998
990.18,709.2305,78932.62155024997,280.94949999999994
1332.62,2430.10606,1204475.651894324,1097.4860600000002
1161.02,1588.94493,183119.745715505,427.92493000000013
2256.02,2816.9205,314609.3709002502,560.9005000000002
3116.24,3025.39473,8252.863081372863,90.8452699999998
1748.58,2073.67285,105685.36112112249,325.09285
2521.5,2890.5809299999996,136220.73288966462,369.0809299999996
3493.59,2638.65196,730919.0522390417,854.93804
1298.68,1354.33131,3097.0683047160965,55.65130999999997
2280.87,2769.92299,239172.82702794022,489.05299000000014
765.95,958.07928,36913.6602333184,192.12928
3217.82,2515.59905,493114.262618903,702.2209500000004
1261.48,1779.60176,268450.15818549757,518.12176
1866.8,1741.87702,15605.750932080413,124.92298000000005
1377.57,1999.20948,386435.64309467043,621.63948
2031.19,2035.94811,22.639610772099886,4.758109999999988
2139.88,2214.91572,5630.359275918378,75.03571999999986
2751.07,3054.8113299999995,92258.79555016852,303.7413299999994
1524.94,1956.81252,186513.8735311503,431.8725199999999
1930.67,2250.42103,102240.72118606084,319.7510299999999
1267.84,1234.03208,1142.9754547263979,33.80791999999997
951.4,1337.74723,149264.18212867287,386.34722999999997
625.2,779.1833399999999,23710.868997555564,153.98333999999988
2113.77,2075.08934,1496.1934580355992,38.68065999999999
1310.03,854.53967,207471.4407235089,455.49033
3286.45,2866.4778,176376.64877283975,419.9721999999997
2080.79,1659.73291,177289.0730392681,421.05709
1278.54,1932.8603599999997,428135.13351052924,654.3203599999997
2996.04,2874.35556,14807.1029381136,121.68444
871.35,869.20521,4.600124144100246,2.1447900000000573
2768.44,3211.1501199999993,195992.25035041376,442.7101199999993
3745.39,3195.98253,301848.5680918005,549.4074699999996
3556.24,3343.94151,45070.648856279964,212.29848999999967
782.66,306.94758,226302.30654225635,475.71241999999995
863.34,1021.6747200000001,25069.88355747842,158.33472000000006
1784.77,2178.17709,154769.13846226822,393.40709000000015
1164.94,1385.80252,48780.25274075036,220.8625199999999
1247.91,2276.22006,1057421.5794972037,1028.31006
2480.96,2211.28743,72723.295010405,269.6725700000002
1159.62,913.89327,60381.62583649283,245.72672999999986
1947.07,1978.7100699999999,1001.0940296048951,31.640069999999923
2113.62,2600.75168,237297.27365962235,487.13167999999996
1486.61,1981.6863899999998,245100.63193543206,495.07638999999995
1804.49,1391.53252,170533.88028795042,412.95748000000003
691.35,397.04112,86617.71684685443,294.30888000000004
789.61,755.3350499999999,1174.7721975025072,34.2749500000001
2312.14,1532.9724099999999,607102.1333064082,779.16759
1748.97,1898.05412,22226.074836174394,149.08411999999998
3428.94,2604.5631399999997,679597.2073034601,824.3768600000003
1340.49,1869.87084,280244.07375910564,529.38084
2120.59,2721.52734,361125.68660627556,600.93734
3496.93,2708.34996,621858.4794864013,788.5800399999998
972.19,1495.5025099999998,273855.98312249983,523.3125099999997
3038.1,2918.3123499999997,14349.08109252255,119.78765000000021
2793.54,2129.21499,441327.7189115001,664.32501
2821.78,2599.15965,49559.82023412256,222.62035000000014
1548.95,1978.96491,184912.822822308,430.0149099999999
962.25,1206.9065799999998,59856.84213729633,244.65657999999985
2240.32,2885.28131,415975.09139691567,644.9613099999997
